Input Decimal,Input Binario,Resultado Binario,Resultado Decimal,Tiempo Ejecucion (ms)
93,1011101,1010100101001111101011010100001000100010000111110010011100000010,12200160415121876738,22.413015365600586
94,1011110,10001000111110011100010101101000010000100000010111111011010111111,19740274219868223167,21.116256713867188
95,1011111,11011101101000011001110000001001010100110001010110001110111000001,31940434634990099905,20.938634872436523
96,1100000,101100110100110110110000101110001100101010001101110001010010000000,51680708854858323072,22.67169952392578
97,1100001,1001000100001111001111110101111010111010000011000100011001001000001,83621143489848422977,24.334430694580078
98,1100010,1110101010110110000101111011101100011111010100110010100011011000001,135301852344706746049,23.553848266601562
99,1100011,10111101111000101010101110001100111011001010111110110111100100000010,218922995834555169026,23.950815200805664
100,1100100,100110011001111011011011101101010011111000101100101001011111111000011,354224848179261915075,27.181625366210938
101,1100101,111110001001000000110001011110111011010010000100100000011100011000101,573147844013817084101,27.556419372558594
102,1100110,1100100100010111100001101001100001111001010110001001001111100010001000,927372692193078999176,31.081438064575195
103,1100111,10100010101011111100111110101011001010011100110101101010011000101001101,1500520536206896083277,27.196168899536133
104,1101000,100000111001110111001001011110111011001100111100110110100010100111010101,2427893228399975082453,28.911590576171875
105,1101001,110101001111010110110001010100010100100000100011100011110101101100100010,3928413764606871165730,28.30195426940918
106,1101010,1010110001001001101111010110011001111101101100000011010011000010011110111,6356306993006846248183,59.85593795776367
107,1101011,10001011011000100100101100000111100100001110000011111110001110000000011001,10284720757613717413913,34.050941467285156
108,1101100,11100001100001110010100110111010110011111011100100011000100110010100010000,16641027750620563662096,39.4442081451416
109,1101101,101101100111010010111010011000010011000001001101000010110110100010100101001,26925748508234281076009,40.97795486450195
110,1101110,1001001110011100001001111001111101001100000101001100101111011010101000111001,43566776258854844738105,40.988922119140625
111,1101111,1110111011010110100001001100111111100100001110110101000110001110111101100010,70492524767089125814114,43.01714897155762
112,1110000,11000001001110010101011000110111100110000010100000001110101101001100110011011,114059301025943970552219,33.94746780395508
113,1110001,100111000101001001001100010011111100010100100010110110111011111000100011111101,184551825793033096366333,44.476985931396484
114,1110010,111111001110111011110111011010111001000100110110111000110001100010001010011000,298611126818977066918552,35.816192626953125
115,1110011,1100110010100000101000011101110110101011001011001101111101101011010101110010101,483162952612010163284885,40.99440574645996
116,1110100,10100101100011000000111011001001101110011110010000101000011110111100111000101101,781774079430987230203437,45.392513275146484
117,1110101,100001011110111000101111110111000100011110111101010011000001100010111100111000010,1264937032042997393488322,42.07897186279297
118,1110110,110110001011010000110111010000010010010010101111011000000101011010100011111101111,2046711111473984623691759,44.25811767578125
119,1110111,1010111101010001001100111000111010110110001101100101011000110111101100000110110001,3311648143516982017180081,43.89476776123047
120,1111000,10001101110101011010011110010111101001000100011100000011001100011000000100110100000,5358359254990966640871840,42.82045364379883
